"Statistic Label","Month","State","UNIT","VALUE"
"Total Exports (Seasonally Adjusted)","1976 December","State","Euro Thousand","220766"
"Total Exports (Seasonally Adjusted)","1977 January","State","Euro Thousand","229481"
"Total Exports (Seasonally Adjusted)","1977 February","State","Euro Thousand","242309"
"Total Exports (Seasonally Adjusted)","1977 March","State","Euro Thousand","248600"
"Total Exports (Seasonally Adjusted)","1977 April","State","Euro Thousand","243067"
"Total Exports (Seasonally Adjusted)","1977 May","State","Euro Thousand","253115"
"Total Exports (Seasonally Adjusted)","1977 June","State","Euro Thousand","258876"
"Total Exports (Seasonally Adjusted)","1977 July","State","Euro Thousand","286834"
"Total Exports (Seasonally Adjusted)","1977 August","State","Euro Thousand","288134"
"Total Exports (Seasonally Adjusted)","1977 September","State","Euro Thousand","279643"
"Total Exports (Seasonally Adjusted)","1977 October","State","Euro Thousand","272028"
"Total Exports (Seasonally Adjusted)","1977 November","State","Euro Thousand","281526"
"Total Exports (Seasonally Adjusted)","1977 December","State","Euro Thousand","307771"
"Total Exports (Seasonally Adjusted)","1978 January","State","Euro Thousand","333340"
"Total Exports (Seasonally Adjusted)","1978 February","State","Euro Thousand","273711"
"Total Exports (Seasonally Adjusted)","1978 March","State","Euro Thousand","301005"
"Total Exports (Seasonally Adjusted)","1978 April","State","Euro Thousand","321557"
"Total Exports (Seasonally Adjusted)","1978 May","State","Euro Thousand","293660"
"Total Exports (Seasonally Adjusted)","1978 June","State","Euro Thousand","308117"
"Total Exports (Seasonally Adjusted)","1978 July","State","Euro Thousand","303882"
"Total Exports (Seasonally Adjusted)","1978 August","State","Euro Thousand","310312"
"Total Exports (Seasonally Adjusted)","1978 September","State","Euro Thousand","326041"
"Total Exports (Seasonally Adjusted)","1978 October","State","Euro Thousand","315243"
"Total Exports (Seasonally Adjusted)","1978 November","State","Euro Thousand","348780"
"Total Exports (Seasonally Adjusted)","1978 December","State","Euro Thousand","332258"
"Total Exports (Seasonally Adjusted)","1979 January","State","Euro Thousand","317110"
"Total Exports (Seasonally Adjusted)","1979 February","State","Euro Thousand","351449"
"Total Exports (Seasonally Adjusted)","1979 March","State","Euro Thousand","341326"
"Total Exports (Seasonally Adjusted)","1979 April","State","Euro Thousand","348968"
"Total Exports (Seasonally Adjusted)","1979 May","State","Euro Thousand","375465"
