"Statistic Label","Month","Age Group","Sex","UNIT","VALUE"
"Seasonally Adjusted Monthly Unemployment Rate","2003 April","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2003 May","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2003 June","15 - 74 years","Both sexes","%","4.9"
"Seasonally Adjusted Monthly Unemployment Rate","2003 July","15 - 74 years","Both sexes","%","5"
"Seasonally Adjusted Monthly Unemployment Rate","2003 August","15 - 74 years","Both sexes","%","5"
"Seasonally Adjusted Monthly Unemployment Rate","2003 September","15 - 74 years","Both sexes","%","5"
"Seasonally Adjusted Monthly Unemployment Rate","2003 October","15 - 74 years","Both sexes","%","4.8"
"Seasonally Adjusted Monthly Unemployment Rate","2003 November","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2003 December","15 - 74 years","Both sexes","%","4.8"
"Seasonally Adjusted Monthly Unemployment Rate","2004 January","15 - 74 years","Both sexes","%","5.1"
"Seasonally Adjusted Monthly Unemployment Rate","2004 February","15 - 74 years","Both sexes","%","5.2"
"Seasonally Adjusted Monthly Unemployment Rate","2004 March","15 - 74 years","Both sexes","%","5.1"
"Seasonally Adjusted Monthly Unemployment Rate","2004 April","15 - 74 years","Both sexes","%","4.8"
"Seasonally Adjusted Monthly Unemployment Rate","2004 May","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2004 June","15 - 74 years","Both sexes","%","4.5"
"Seasonally Adjusted Monthly Unemployment Rate","2004 July","15 - 74 years","Both sexes","%","4.5"
"Seasonally Adjusted Monthly Unemployment Rate","2004 August","15 - 74 years","Both sexes","%","4.4"
"Seasonally Adjusted Monthly Unemployment Rate","2004 September","15 - 74 years","Both sexes","%","4.6"
"Seasonally Adjusted Monthly Unemployment Rate","2004 October","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2004 November","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2004 December","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2005 January","15 - 74 years","Both sexes","%","4.4"
"Seasonally Adjusted Monthly Unemployment Rate","2005 February","15 - 74 years","Both sexes","%","4.3"
"Seasonally Adjusted Monthly Unemployment Rate","2005 March","15 - 74 years","Both sexes","%","4.5"
"Seasonally Adjusted Monthly Unemployment Rate","2005 April","15 - 74 years","Both sexes","%","4.8"
"Seasonally Adjusted Monthly Unemployment Rate","2005 May","15 - 74 years","Both sexes","%","4.9"
"Seasonally Adjusted Monthly Unemployment Rate","2005 June","15 - 74 years","Both sexes","%","4.9"
"Seasonally Adjusted Monthly Unemployment Rate","2005 July","15 - 74 years","Both sexes","%","4.8"
"Seasonally Adjusted Monthly Unemployment Rate","2005 August","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2005 September","15 - 74 years","Both sexes","%","4.6"
"Seasonally Adjusted Monthly Unemployment Rate","2005 October","15 - 74 years","Both sexes","%","4.5"
"Seasonally Adjusted Monthly Unemployment Rate","2005 November","15 - 74 years","Both sexes","%","4.5"
"Seasonally Adjusted Monthly Unemployment Rate","2005 December","15 - 74 years","Both sexes","%","4.6"
"Seasonally Adjusted Monthly Unemployment Rate","2006 January","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2006 February","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2006 March","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2006 April","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2006 May","15 - 74 years","Both sexes","%","4.7"
"Seasonally Adjusted Monthly Unemployment Rate","2006 June","15 - 74 years","Both sexes","%","4.8"
"Seasonally Adjusted Monthly Unemployment Rate","2006 July","15 - 74 years","Both sexes","%","5"
"Seasonally Adjusted Monthly Unemployment Rate","2006 August","15 - 74 years","Both sexes","%","5.1"
